Uptime,Volts,Temp,Door,I,N
3898,11.89,4.93,0,1,1287
3901,11.89,4.83,0,1,1288
3904,11.86,5.02,0,1,1289
3907,11.89,5.02,0,1,1290
3910,11.89,5.02,0,1,1291
3913,11.86,5.02,0,1,1292
3916,11.86,5.02,0,1,1293
3919,11.86,5.12,0,1,1294
3922,11.86,5.12,0,1,1295
3925,11.86,5.02,0,1,1296
3928,11.89,5.02,0,1,1297
3931,11.86,5.02,0,1,1298
3934,11.84,5.02,0,1,1299
3937,11.86,5.02,0,1,1300
3940,11.86,5.12,0,1,1301
3943,11.86,5.12,0,1,1302
3946,11.86,5.02,0,1,1303
3949,11.86,5.12,0,1,1304
3952,11.86,4.93,0,1,1305
3955,11.86,5.12,0,1,1306
3958,11.86,5.02,0,1,1307
3961,11.86,5.02,0,1,1308
3964,11.86,5.02,0,1,1309
3968,11.86,5.12,0,1,1310
3971,11.86,5.02,0,1,1311
3974,11.86,5.12,0,1,1312
3977,11.86,5.02,0,1,1313
3980,11.86,4.93,0,1,1314
3983,11.86,4.93,0,1,1315
3986,11.86,4.93,0,1,1316
3989,11.86,5.02,1,1,1317
3992,11.86,5.12,0,1,1318
3995,11.86,5.31,0,1,1319
3998,11.84,7.55,1,1,1320
4001,11.86,9.46,0,1,1321
4004,11.86,10.80,1,1,1322
4007,11.86,12.04,1,1,1323
4010,11.86,12.92,1,1,1324
4013,11.86,13.62,1,1,1325
4016,11.86,14.40,0,1,1326
4019,11.86,14.92,0,1,1327
4022,11.86,15.52,1,1,1328
4025,11.86,16.04,0,1,1329
4028,11.86,16.39,0,1,1330
4031,11.86,16.73,1,1,1331
4034,11.86,17.08,1,1,1332
4037,11.86,17.34,1,1,1333
4040,11.86,17.68,0,1,1334
4043,11.86,17.94,0,1,1335
4046,11.86,18.11,1,1,1336
4049,11.86,18.37,1,1,1337
4052,11.86,18.63,0,1,1338
4055,11.86,18.80,0,1,1339
4058,11.86,19.06,1,1,1340
